"국가이름","국내총생산","국내총생산_순위","1인당국내총생산","1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","1인당국민총소득","1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위"
"자메이카","147억 6,813만 4,912.4","116","5,109.55","85","290만 6,339","139","109만 9천","164","142억 6,201만 1,423.5","117","4,934.44","73","0.48","169",NA,NA,NA,NA,NA,NA,NA,NA
"가봉","146억 2,288만 885.7","117","7,220.69","70","210만 9,099","146","2,676만 7천","74","136억 8,145만 3,152.1","118","6,755.82","62","1.1","160",NA,NA,NA,NA,NA,NA,NA,NA
"니카라과","138억 1,426만 1,535.5","118","2,221.81","116","635만 1,157","109","1,303만 7천","96","134억 2,406만 1,795.8","120","2,159.05","92","4.86","43",NA,NA,NA,NA,NA,NA,NA,NA
"모리셔스","133억 3,814만 7,523","119","1만 547.22","56","127만 1,368","157","20만 4천","176","135억 1,038만 5,309.2","119","1만 678.98","51","3.8","77",NA,NA,NA,NA,"23억 6,931만 4천","90","52억 5,596만 1천","87"
"나미비아","132억 4,459만 7,345.4","120","5,227.18","83","264만 1,996","142","8,242만 9천","32","130억 5,162만 6,617.8","122","5,151.02","72","-0.77","175",NA,NA,NA,NA,"47억 7,319만 ","80","66억 967만 9천","82"
"알바니아","130억 3,935만 2,744","121","4,537.86","88","293만 8,428","137","287만 5천","142","131억 4,293만 3,475.1","121",NA,NA,"3.84","74",NA,NA,NA,NA,"23억 143만 9천","91","52억 9,392만 3천","86"
"부르키나파소","128억 7,311만 4,800","122","670.71","143","2,032만 1,560","59","2,742만 2천","72","124억 7,120만 4,115.3","124","649.77","112","6.74","22",NA,NA,NA,NA,NA,NA,NA,NA
"몰타","125억 3,775만 732.5","123","2만 6,945.98","30","43만 3,245","175","3만 2천","204","116억 5,017만 3,826.5","128","2만 7,040.92","28","6.42","26",NA,NA,NA,NA,"40억 7,601만 8천","82","68억 3,610만 ","81"
"적도기니","124억 8,675만 3,871.3","124","9,850.01","60","136만 104","154","280만 5천","143","97억 5,248만 2,997.3","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"모잠비크","123억 3,385만 9,926.3","125","415.72","151","3,140만 8,823","47","7,993만 8천","33","119억 1,387만 8,221.8","126","401.56","116","3.71","80",NA,NA,NA,NA,NA,NA,NA,NA
"바하마","121억 6,210만 ","126","3만 762.01","25","40만 3,095","176","138만 8천","158","119억 702만 ","127","3만 116.83","25","1.44","154",NA,NA,NA,NA,"4억 6,930만 4천","98","34억 2,782만 1천","90"
"브루나이","121억 2,808만 9,001.6","127","2만 8,290.59","28","43만 9,336","174","57만 7천","169","128억 8,536만 4,617.3","123",NA,NA,"1.33","156",NA,NA,NA,NA,"55억 8,703만 8천","78","30억 8,754만 1천","91"
"아르메니아","115억 3,659만 635.8","128","3,936.8","97","293만 6,706","138","297만 4천","140","120억 3,426만 7,028","125",NA,NA,"7.5","9",NA,NA,NA,NA,NA,NA,NA,NA
"마다가스카르","114억 9,980만 3,806.6","129","449.72","149","2,696만 9,642","51","5,872만 9,500","43","111억 4,604만 2,743","129",NA,NA,"4.17","60",NA,NA,NA,NA,NA,NA,NA,NA
"몽골","114억 8,804만 6,881","130","3,735.16","100","316만 6,244","136","1억 5,641만 2천","17","98억 7,545만 5,021.2","132","3,210.85","85","5.88","30",NA,NA,NA,NA,"62억 70만 ","76","43억 3,550만 ","89"
"마케도니아","113억 3,782만 7,331.7","131","5,442.61","81","208만 6,720","147","257만 1천","147","108억 6,031만 5,685.4","130",NA,NA,"0.02","172",NA,NA,NA,NA,"56억 6,374만 7천","77","77억 1,659만 4천","79"
"기니","104억 9,147만 4,929.7","132",NA,NA,"1,339만 8,180","75","2,458만 6천","77","104억 4,084만 4,929.7","131",NA,NA,"12.7","2",NA,NA,NA,NA,NA,NA,NA,NA
"차드","99억 8,130만 3,726.2","133","669.89","144","1,581만 4,345","73","1억 2,840만 ","19","98억 5,074만 755.9","133",NA,NA,"-2.95","179",NA,NA,NA,NA,NA,NA,NA,NA
"베냉","92억 7,355만 8,271.6","134","829.8","136","1,180만 1,595","77","1,147만 6천","100","92억 6,064만 7,271.5","135","828.64","109","5.58","33",NA,NA,NA,NA,NA,NA,NA,NA
"르완다","91억 3,668만 9,514.1","135","748.39","141","1,279만 4,412","76","263만 4천","146","89억 3,585만 5,028.8","136","731.94","111",NA,NA,NA,NA,NA,NA,"8억 617만 5천","95","28억 7,599만 6천","92"
"콩고","87억 2,255만 3천.8","136","1,658.04","121","554만 2,197","116","3,420만 ","63","79억 3,860만 6,542.6","141","1,509.03","99","-4.59","182",NA,NA,NA,NA,NA,NA,NA,NA
"아이티","84억 815만 518","137","765.68","140","1,124만 2,856","83","277만 5천","145","84억 6,181만 3,293.7","138",NA,NA,"1.17","159",NA,NA,NA,NA,NA,NA,NA,NA
"몰도바","81억 2,849만 3,432.1","138","2,289.88","115","402만 9,750","131","338만 5천","137","86억 4,100만 7,622","137","2,132.94","93","4.5","51",NA,NA,NA,NA,"24억 2,510만 ","89","48억 3,150만 ","88"
"니제르","81억 1,973만 2,792.5","139","378.06","152","2,317만 6,691","57","1억 2,670만 ","20","79억 4,175만 4,833.5","140",NA,NA,"4.89","41",NA,NA,NA,NA,NA,NA,NA,NA
"키르기즈스탄","75억 6,473만 8,836","140","1,219.82","129","621만 8,616","110","1,999만 4,900","85","73억 4,145만 6,683.7","142","1,214.44","105","4.58","46",NA,NA,NA,NA,NA,NA,NA,NA
"소말리아","73억 6,856만 694.7","141",NA,NA,"1,563만 6,171","74","6,376만 6천","40","73억 3,656만 694.7","143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"타지키스탄","71억 4,570만 1,018.7","142",NA,NA,"929만 2천","95","1,413만 7,600","94","82억 4,405만 5,721.3","139",NA,NA,"7.1","14",NA,NA,NA,NA,"11억 9,800만 ","93",NA,NA
"말라위","63억 327만 7,590.8","143","338.48","153","1,971만 8,743","60","1,184만 8천","98","61억 6,087만 6,577.3","144","330.84","117","4","66",NA,NA,NA,NA,NA,NA,NA,NA
"피지","50억 6,120만 2,767.4","144","5,589.39","80","91만 8,757","160","182만 7천","154","48억 1,720만 2,767.4","148","5,319.93","71","3.8","76",NA,NA,NA,NA,"9억 9,565만 5천","94","24억 920만 9천","94"
"모리타니","50억 2,470만 5,934.3","145","1,136.76","131","466만 1,149","127","1억 307만 ","27","49억 6,730만 6,925","146",NA,NA,"3.5","86",NA,NA,NA,NA,"198억 8,677만 6천","55","352억 6,081만 1천","48"
"토고","48억 1,255만 4,346.1","146","617.18","145","818만 6,384","101","567만 9천","124","49억 7,885만 340","145",NA,NA,"5.57","34",NA,NA,NA,NA,NA,NA,NA,NA
"바베이도스","47억 9,684만 5,980.8","147","1만 6,788.68","41","28만 7,010","183","4만 3천","199","45억 8,811만 8,439.9","149",NA,NA,"1.67","148",NA,NA,NA,NA,"4억 8,539만 2천","97","16억 16만 2천","96"
"몬테네그로","47억 7,408만 6,094.2","148",NA,NA,"62만 9,355","167","138만 1천","159","48억 7,317만 8,837.1","147",NA,NA,"4.3","53",NA,NA,NA,NA,"4억 2,080만 9천","100","26억 1,211만 9천","93"
"몰디브","45억 9,708만 3,303.5","149","1만 535.79","58","45만 1,738","172","3만 ","205","42억 3,383만 2,247.7","151",NA,NA,"8.83","5",NA,NA,NA,NA,"2억 17만 5천","102","23억 6,121만 2천","95"
"스와질란드","44억 856만 4,260.2","150","3,224.39","103","141만 5,414","152","173만 6천","156","44억 2,246만 8,970","150",NA,NA,"2","133",NA,NA,NA,NA,NA,NA,NA,NA
"시에라리온","37억 7,427만 392.4","151","499.43","147","788만 3,123","102","723만 ","118","36억 6,327만 392.4","152","484.74","113","4.16","61",NA,NA,NA,NA,NA,NA,NA,NA
"가이아나","36억 7,563만 1,961.3","152","4,725.32","87","78만 6,508","164","2,149만 7천","83","36억 5,470만 2,179.2","153","4,698.41","74","2.92","105",NA,NA,NA,NA,NA,NA,NA,NA
"부룬디","34억 7,750만 2,178.3","153","320.09","154","1,157만 5,964","79","278만 3천","144","34억 7,360만 6,177.3","154","319.73","118","0.52","168",NA,NA,NA,NA,NA,NA,NA,NA
"수리남","33억 2,438만 5,325.3","154","5,900.56","78","57만 3,085","170","1,638만 2천","90","31억 4,277만 9,825.6","155","5,578.22","68","0.1","171",NA,NA,NA,NA,NA,NA,NA,NA
"안도라","30억 1,291만 4,131.2","155",NA,NA,NA,NA,"4만 7천","194",NA,NA,NA,NA,"1.87","139",NA,NA,NA,NA,NA,NA,NA,NA
"동티모르","29억 5,462만 999.6","156",NA,NA,"135만 2,360","155","148만 7천","157","25억 9,426만 816.9","157",NA,NA,"-8","183",NA,NA,NA,NA,"2,507만 9천","108","3억 5,078만 8천","104"
"레소토","26억 3,938만 6,291.4","157","1,181.81","130","229만 2,682","144","303만 6천","139","29억 5,738만 6,291.4","156","1,324.2","103","5.59","32",NA,NA,NA,NA,NA,NA,NA,NA
"부탄","25억 1,185만 2,941.2","158","3,110.23","105","82만 6,229","163","383만 9,400","134","23억 2,632만 3,529.4","158","2,880.5","87","6.82","18",NA,NA,NA,NA,"5억 7,272만 9천","96","10억 2,878만 4천","97"
"라이베리아","21억 5,800만 ","159",NA,NA,"497만 7,720","123","1,113만 7천","102","18억 5,511만 103.2","160",NA,NA,"2.45","121",NA,NA,NA,NA,NA,NA,NA,NA
"중앙아프리카공화국","19억 4,941만 1,659.2","160","418.41","150","482만 5,711","125","6,229만 8천","41","19억 5,446만 5,820.5","159","419.5","115","4.3","54",NA,NA,NA,NA,NA,NA,NA,NA
"지부티","18억 4,467만 4,434.5","161",NA,NA,"98만 5,690","159","232만 ","148","18억 2,934만 1,326.2","161",NA,NA,"4.09","64",NA,NA,NA,NA,NA,NA,NA,NA
"벨리즈","18억 3,800만 ","162","4,905.51","86","39만 231","177","229만 7천","149","16억 8,715만 6,100","163","4,502.91","75","0.88","163",NA,NA,NA,NA,NA,NA,NA,NA
"카보베르데","17억 5,373만 6,711.7","163","3,209.69","104","56만 349","171","40만 3천","171","16억 8,751만 8,245.1","162",NA,NA,"3.89","70",NA,NA,NA,NA,NA,NA,NA,NA
"세인트루시아","17억 1,230만 6,555.6","164","9,574.3","62","18만 454","187","6만 2천","191","15억 9,343만 3,925.9","164","8,909.63","55","2.69","111",NA,NA,NA,NA,"1억 2,700만 2천","103","6억 5,500만 9천","99"
"산마리노","16억 5,877만 8,453.9","165",NA,NA,NA,NA,"6천","220",NA,NA,NA,NA,"1.24","158",NA,NA,NA,NA,NA,NA,NA,NA
"앤티가바부다","15억 3,239만 7,555.6","166",NA,NA,NA,NA,"4만 4천","198","14억 9,265만 5,074.1","165",NA,NA,"3.34","89",NA,NA,NA,NA,"6,239만 1천","104","6억 2,983만 7천","100"
"세이셸","14억 8,599만 4,387.5","167",NA,NA,NA,NA,"4만 6천","195","13억 7,799만 4,387.5","166",NA,NA,"4.2","57",NA,NA,NA,NA,"2억 562만 3천","101","9억 1,695만 1천","98"
"기니비사우","13억 4,693만 3,490.2","168","723.66","142","195만 3,723","149","361만 3천","135","13억 4,968만 2,184.3","167",NA,NA,"5.92","28",NA,NA,NA,NA,NA,NA,NA,NA
"솔로몬제도","13억 345만 3,616.1","169","2,132.12","117","63만 5,254","166","289만 ","141","12억 2,372만 3,914.1","168",NA,NA,"3.24","92",NA,NA,NA,NA,"4억 5,885만 3천","99","4억 4,775만 9천","101"
"그레나다","11억 1,881만 6,679.4","170",NA,NA,NA,NA,"3만 4천","203","10억 8,011만 3,472.4","169",NA,NA,"3.73","79",NA,NA,NA,NA,"2,486만 4천","109","4억 2,028만 8천","102"
"감비아","10억 1,462만 1,519.9","171",NA,NA,"222만 8,075","145","113만 ","163","9억 8,663만 1,508.8","170",NA,NA,"3.5","85",NA,NA,NA,NA,NA,NA,NA,NA
"세인트키츠네비스","9억 4,585만 4,481.5","172",NA,NA,NA,NA,"2만 6천","207","9억 1,911만 2,074.1","171",NA,NA,"1.74","144",NA,NA,NA,NA,"5,028만 3천","105","3억 892만 7천","106"
"바누아투","8억 6,287만 9,789.4","173",NA,NA,"28만 8,017","182","121만 9천","160","8억 5,390만 71.8","172",NA,NA,"4.5","50",NA,NA,NA,NA,NA,NA,NA,NA
"사모아","8억 5,662만 6,506","174",NA,NA,"19만 8,909","186","28만 4천","173","8억 2,822만 6,506","173",NA,NA,"2.5","120",NA,NA,NA,NA,"4,443만 4천","106","3억 5,638만 8천","103"
"세인트빈센트그레나딘","7억 8,962만 9,629.6","175","7,185.18","71","11만 488","190","3만 9천","200","7억 8,888만 8,888.9","174","7,178.44","61","1.6","149",NA,NA,NA,NA,"4,248만 1천","107","3억 2,995만 1천","105"
"코모로","6억 4,892만 942.7","176","797.29","138","85만 910","162","18만 6,100","177","6억 5,485만 5,832.1","175",NA,NA,"2.5","118",NA,NA,NA,NA,NA,NA,NA,NA
"도미니카연방","5억 6,254만 740.7","177","7,609.61","68",NA,NA,"7만 5천","187","5억 3,888만 8,888.9","176",NA,NA,"-4.21","181",NA,NA,NA,NA,"2,053만 7천","110","1억 9,755만 6천","107"
"통가","4억 2,605만 7,453.1","178",NA,NA,"11만 41","191","7만 5천","188","4억 3,285만 7,453.1","177",NA,NA,"2.7","110",NA,NA,NA,NA,NA,NA,NA,NA
"상투메프린시페","3억 9,087만 1,568.6","179",NA,NA,"21만 3,379","185","9만 6천","182","3억 9,309만 8,002.8","178",NA,NA,"3.87","73",NA,NA,NA,NA,NA,NA,NA,NA
"마이크로네시아","3억 3,642만 7,532.9","180",NA,NA,"10만 6,983","192","7만 ","190","3억 9,076만 3,632.9","179",NA,NA,"2","134",NA,NA,NA,NA,NA,NA,NA,NA
"팔라우","2억 9,154만 4,300","181",NA,NA,NA,NA,"4만 6천","197","2억 7,976만 100","181",NA,NA,"-3.72","180",NA,NA,NA,NA,NA,NA,NA,NA
"마셜제도","1억 9,939만 9,247.1","182",NA,NA,NA,NA,"1만 8천","214","2억 6,441만 8,847.1","182",NA,NA,"2.5","119",NA,NA,NA,NA,NA,NA,NA,NA
"키리바시","1억 9,615만 61.3","183",NA,NA,NA,NA,"8만 1천","184","3억 4,713만 1,054.6","180",NA,NA,"3.1","97",NA,NA,NA,NA,NA,NA,NA,NA
"나우루","1억 1,388만 4,908.4","184",NA,NA,NA,NA,"2천","225","1억 4,450만 5,618.8","183",NA,NA,"4.15","62",NA,NA,NA,NA,NA,NA,NA,NA
"투발루","3,973만 1,317.3","185",NA,NA,NA,NA,"3천","224","5,851만 6,297.1","184",NA,NA,"3.24","91",NA,NA,NA,NA,NA,NA,NA,NA
"미얀마",NA,NA,NA,NA,"5,433만 6,138","26","6,765만 9천","38","658억 5,601만 6,618.1","71","1,233.94","104","6.37","27",NA,NA,NA,NA,NA,NA,NA,NA
"베네수엘라",NA,NA,NA,NA,"3,277만 9,868","44","9,120만 5천","31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"예멘",NA,NA,NA,NA,"2,957만 9,986","50","5,279만 7천","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북한",NA,NA,NA,NA,"2,572만 7,408","52","1,205만 4천","97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"시리아",NA,NA,NA,NA,"1,849만 9,181","64","1,851만 8천","87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"쿠바",NA,NA,NA,NA,"1,149만 2,046","81","1,098만 8천","104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"에리트레아",NA,NA,NA,NA,"530만 9,659","119","1,176만 ","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"팔레스타인",NA,NA,NA,NA,"518만 6,790","120","60만 2천","168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"푸에르토리코",NA,NA,NA,NA,"365만 4,978","133","88만 7천","167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"카타르",NA,NA,NA,NA,"274만 3,901","141","116만 1천","162","1,671억 8,571만 4,285.7","55",NA,NA,"1.6","150",NA,NA,NA,NA,"673억 7,672만 3천","40","294억 4,908만 3천","53"
"레위니옹",NA,NA,NA,NA,"88만 9,918","161","25만 2천","175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"서사하라",NA,NA,NA,NA,"58만 2,478","169","2,660만 ","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"과들루프",NA,NA,NA,NA,"44만 8,798","173","17만 ","178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"마르티니크",NA,NA,NA,NA,"38만 5,320","178","11만 3천","180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령기아나",NA,NA,NA,NA,"29만 6,847","180","835만 3천","115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"프랑스령폴리네시아",NA,NA,NA,NA,"28만 8,506","181","40만 ","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"뉴칼레도니아",NA,NA,NA,NA,"28만 3,376","184","185만 8천","153",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"괌",NA,NA,NA,NA,"16만 7,245","188","5만 4천","193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"샤넬군도",NA,NA,NA,NA,"16만 6,828","189","1만 9천","212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"미국령버진아일랜드",NA,NA,NA,NA,"10만 4,909","193","3만 5천","202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"그린란드",NA,NA,NA,NA,NA,NA,"4,104만 5천","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"포클랜드",NA,NA,NA,NA,NA,NA,"121만 7천","161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"페로제도",NA,NA,NA,NA,NA,NA,"13만 9,600","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"터크스케이커스제도",NA,NA,NA,NA,NA,NA,"9만 5천","183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"앤틸리스",NA,NA,NA,NA,NA,NA,"8만 ","185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"맨섬",NA,NA,NA,NA,NA,NA,"5만 7천","192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"북마리아나제도",NA,NA,NA,NA,NA,NA,"4만 6천","196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"세인트헬레나",NA,NA,NA,NA,NA,NA,"3만 9천","201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"케이맨제도",NA,NA,NA,NA,NA,NA,"2만 6,400","206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"니우에",NA,NA,NA,NA,NA,NA,"2만 6천","208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"생피에르미클롱",NA,NA,NA,NA,NA,NA,"2만 4천","209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"쿡아일랜드",NA,NA,NA,NA,NA,NA,"2만 4천","210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"미국령사모아",NA,NA,NA,NA,NA,NA,"2만 ","211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"아루바",NA,NA,NA,NA,NA,NA,"1만 8천","213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"리히텐슈타인",NA,NA,NA,NA,NA,NA,"1만 6천","215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"영국령버진아일랜드",NA,NA,NA,NA,NA,NA,"1만 5천","216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"윌리스퍼투나",NA,NA,NA,NA,NA,NA,"1만 4천","217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"몬서랫",NA,NA,NA,NA,NA,NA,"1만 ","218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"612만 1천","111","3,075만 7천","109"
"안길라",NA,NA,NA,NA,NA,NA,"9천","219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"310만 ","112","1억 8,263만 1천","108"
"버뮤다",NA,NA,NA,NA,NA,NA,"5천","221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"핏케언제도",NA,NA,NA,NA,NA,NA,"4,700","222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"지브롤터",NA,NA,NA,NA,NA,NA,"1천","226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"토켈라우제도",NA,NA,NA,NA,NA,NA,"1천","227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"남아프리카공화국(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.3","1",NA,NA,NA,NA
"마케도니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.4","2",NA,NA,NA,NA
"부룬디(HS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","3",NA,NA,NA,NA
"그리스(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.5","4",NA,NA,NA,NA
"아르메니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.8","5",NA,NA,NA,NA
"스페인(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.2","6",NA,NA,NA,NA
"튀니지(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.4","7",NA,NA,NA,NA
"알바니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.8","8",NA,NA,NA,NA
"세르비아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.5","9",NA,NA,NA,NA
"알제리(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","10",NA,NA,NA,NA
"자메이카(LFS, 14+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.7","11",NA,NA,NA,NA
"크로아티아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.2","12",NA,NA,NA,NA
"이탈리아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.2","13",NA,NA,NA,NA
"키프로스(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11.1","14",NA,NA,NA,NA
"터키(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.8","15",NA,NA,NA,NA
"우크라이나(LFS, 15~70)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.5","16",NA,NA,NA,NA
"라오스(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.4","17",NA,NA,NA,NA
"프랑스(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.4","18",NA,NA,NA,NA
"브루나이(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.3","19",NA,NA,NA,NA
"벨리즈(LFS, 14+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.3","20",NA,NA,NA,NA
"콜롬비아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.9","21",NA,NA,NA,NA
"포르투갈(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.9","22",NA,NA,NA,NA
"라트비아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.7","23",NA,NA,NA,NA
"핀란드(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.6","24",NA,NA,NA,NA
"아르헨티나(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.4","25",NA,NA,NA,NA
"코스타리카(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.1","26",NA,NA,NA,NA
"슬로바키아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.1","27",NA,NA,NA,NA
"우루과이(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.9","28",NA,NA,NA,NA
"벨기에(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","29",NA,NA,NA,NA
"리투아니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","30",NA,NA,NA,NA
"모리셔스(LFS, 16+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","31",NA,NA,NA,NA
"칠레(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","32",NA,NA,NA,NA
"페루(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7","33",NA,NA,NA,NA
"아일랜드(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7","34",NA,NA,NA,NA
"스웨덴(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.7","35",NA,NA,NA,NA
"슬로베니아(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.6","36",NA,NA,NA,NA
"몽골(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.4","37",NA,NA,NA,NA
"캐나다(LFS, 15+)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.3","38",NA,NA,NA,NA
