국가이름,국내총생산,국내총생산_순위,X1인당국내총생산,X1인당국내총생산_순위,인구,인구_순위,국토면적,국토면적_순위,국민총소득,국민총소득_순위,X1인당국민총소득,X1인당국민총소득_순위,경제성장률,경제성장률_순위,비교물가수준,비교물가수준_순위,실업률,실업률_순위,수출,수출_순위,수입,수입_순위,언론자유지수,언론자유지수_순위,행복지수,행복지수_순위
가이아나,3675631961,152,4725.32,87,786508,164,21497000,83,3654702179,153,4698.41,74,2.92,105,NA,NA,NA,NA,NA,NA,NA,NA,26.25,55,NA,NA
부룬디,3477502178,153,320.09,154,11575964,79,2783000,144,3473606177,154,319.73,118,0.52,168,NA,NA,22,3,NA,NA,NA,NA,55.26,159,2.905,156
수리남,3324385325,154,5900.56,78,573085,170,16382000,90,3142779826,155,5578.22,68,0.1,171,NA,NA,NA,NA,NA,NA,NA,NA,16.44,21,NA,NA
안도라,3012914131,155,NA,NA,NA,NA,47000,194,NA,NA,NA,NA,1.87,139,NA,NA,NA,NA,NA,NA,NA,NA,22.21,37,NA,NA
동티모르,2954621000,156,NA,NA,1352360,155,1487000,157,2594260817,157,NA,NA,-8,183,NA,NA,NA,NA,25079000,108,350788000,104,30.81,95,NA,NA
레소토,2639386291,157,1181.81,130,2292682,144,3036000,139,2957386291,156,1324.2,103,5.59,32,NA,NA,NA,NA,NA,NA,NA,NA,28.78,68,3.808,141
부탄,2511852941,158,3110.23,105,826229,163,3839400,134,2326323529,158,2880.5,87,6.82,18,NA,NA,NA,NA,572729000,96,1028784000,97,30.73,94,5.082,97
라이베리아,2158000000,159,NA,NA,4977720,123,11137000,102,1855110103,160,NA,NA,2.45,121,NA,NA,NA,NA,NA,NA,NA,NA,30.33,89,3.495,149
중앙아프리카공화국,1949411659,160,418.41,150,4825711,125,62298000,41,1954465821,159,419.5,115,4.3,54,NA,NA,NA,NA,NA,NA,NA,NA,35.25,112,3.083,155
지부티,1844674435,161,NA,NA,985690,159,2320000,148,1829341326,161,NA,NA,4.09,64,NA,NA,NA,NA,NA,NA,NA,NA,70.77,173,NA,NA
벨리즈,1838000000,162,4905.51,86,390231,177,2297000,149,1687156100,163,4502.91,75,0.88,163,NA,NA,9.3,20,NA,NA,NA,NA,24.55,47,5.956,49
카보베르데,1753736712,163,3209.69,104,560349,171,403000,171,1687518245,162,NA,NA,3.89,70,NA,NA,NA,NA,NA,NA,NA,NA,20.39,29,NA,NA
세인트루시아,1712306556,164,9574.3,62,180454,187,62000,191,1593433926,164,8909.63,55,2.69,111,NA,NA,NA,NA,127002000,103,655009000,99,NA,NA,NA,NA
산마리노,1658778454,165,NA,NA,NA,NA,6000,220,NA,NA,NA,NA,1.24,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
앤티가바부다,1532397556,166,NA,NA,NA,NA,44000,198,1492655074,165,NA,NA,3.34,89,NA,NA,NA,NA,62391000,104,629837000,100,NA,NA,NA,NA
세이셸,1485994388,167,NA,NA,NA,NA,46000,195,1377994388,166,NA,NA,4.2,57,NA,NA,3.7,67,205623000,101,916951000,98,30.17,85,NA,NA
기니비사우,1346933490,168,723.66,142,1953723,149,3613000,135,1349682184,167,NA,NA,5.92,28,NA,NA,NA,NA,NA,NA,NA,NA,30.09,83,NA,NA
솔로몬제도,1303453616,169,2132.12,117,635254,166,2890000,141,1223723914,168,NA,NA,3.24,92,NA,NA,NA,NA,458853000,99,447759000,101,NA,NA,NA,NA
그레나다,1118816679,170,NA,NA,NA,NA,34000,203,1080113472,169,NA,NA,3.73,79,NA,NA,NA,NA,24864000,109,420288000,102,NA,NA,NA,NA
감비아,1014621520,171,NA,NA,2228075,145,1130000,163,986631508.8,170,NA,NA,3.5,85,NA,NA,NA,NA,NA,NA,NA,NA,38.36,122,NA,NA
세인트키츠네비스,945854481.5,172,NA,NA,NA,NA,26000,207,919112074.1,171,NA,NA,1.74,144,NA,NA,NA,NA,50283000,105,308927000,106,NA,NA,NA,NA
바누아투,862879789.4,173,NA,NA,288017,182,1219000,160,853900071.8,172,NA,NA,4.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
사모아,856626506,174,NA,NA,198909,186,284000,173,828226506,173,NA,NA,2.5,120,NA,NA,NA,NA,44434000,106,356388000,103,16.69,22,NA,NA
세인트빈센트그레나딘,789629629.6,175,7185.18,71,110488,190,39000,200,788888888.9,174,7178.44,61,1.6,149,NA,NA,NA,NA,42481000,107,329951000,105,NA,NA,NA,NA
코모로,648920942.7,176,797.29,138,850910,162,186100,177,654855832.1,175,NA,NA,2.5,118,NA,NA,NA,NA,NA,NA,NA,NA,25.3,49,NA,NA
도미니카연방,562540740.7,177,7609.61,68,NA,NA,75000,187,538888888.9,176,NA,NA,-4.21,181,NA,NA,NA,NA,20537000,110,197556000,107,NA,NA,NA,NA
통가,426057453.1,178,NA,NA,110041,191,75000,188,432857453.1,177,NA,NA,2.7,110,NA,NA,NA,NA,NA,NA,NA,NA,25.68,51,NA,NA
상투메프린시페,390871568.6,179,NA,NA,213379,185,96000,182,393098002.8,178,NA,NA,3.87,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
마이크로네시아,336427532.9,180,NA,NA,106983,192,70000,190,390763632.9,179,NA,NA,2,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
팔라우,291544300,181,NA,NA,NA,NA,46000,197,279760100,181,NA,NA,-3.72,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
마셜제도,199399247.1,182,NA,NA,NA,NA,18000,214,264418847.1,182,NA,NA,2.5,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
키리바시,196150061.3,183,NA,NA,NA,NA,81000,184,347131054.6,180,NA,NA,3.1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
나우루,113884908.4,184,NA,NA,NA,NA,2000,225,144505618.8,183,NA,NA,4.15,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
투발루,39731317.3,185,NA,NA,NA,NA,3000,224,58516297.1,184,NA,NA,3.24,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
미얀마,NA,NA,NA,NA,54336138,26,67659000,38,65856016618,71,1233.94,104,6.37,27,NA,NA,1.6,80,NA,NA,NA,NA,43.15,137,4.308,130
베네수엘라,NA,NA,NA,NA,32779868,44,91205000,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.03,143,4.806,102
예멘,NA,NA,NA,NA,29579986,50,52797000,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.23,167,3.355,152
북한,NA,NA,NA,NA,25727408,52,12054000,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.87,180,NA,NA
시리아,NA,NA,NA,NA,18499181,64,18518000,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.22,177,3.462,150
쿠바,NA,NA,NA,NA,11492046,81,10988000,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9,172,NA,NA
에리트레아,NA,NA,NA,NA,5309659,119,11760000,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.24,179,NA,NA
팔레스타인,NA,NA,NA,NA,5186790,120,602000,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.96,134,4.743,104
푸에르토리코,NA,NA,NA,NA,3654978,133,887000,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
카타르,NA,NA,NA,NA,2743901,141,1161000,162,1.67E+11,55,NA,NA,1.6,150,NA,NA,NA,NA,67376723000,40,29449083000,53,40.16,125,6.374,32
레위니옹,NA,NA,NA,NA,889918,161,252000,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
서사하라,NA,NA,NA,NA,582478,169,26600000,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
과들루프,NA,NA,NA,NA,448798,173,170000,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
마르티니크,NA,NA,NA,NA,385320,178,113000,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
프랑스령기아나,NA,NA,NA,NA,296847,180,8353000,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
프랑스령폴리네시아,NA,NA,NA,NA,288506,181,400000,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
뉴칼레도니아,NA,NA,NA,NA,283376,184,1858000,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
괌,NA,NA,NA,NA,167245,188,54000,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
샤넬군도,NA,NA,NA,NA,166828,189,19000,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
미국령버진아일랜드,NA,NA,NA,NA,104909,193,35000,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
그린란드,NA,NA,NA,NA,NA,NA,41045000,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
포클랜드,NA,NA,NA,NA,NA,NA,1217000,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
페로제도,NA,NA,NA,NA,NA,NA,139600,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
터크스케이커스제도,NA,NA,NA,NA,NA,NA,95000,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
앤틸리스,NA,NA,NA,NA,NA,NA,80000,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
맨섬,NA,NA,NA,NA,NA,NA,57000,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
북마리아나제도,NA,NA,NA,NA,NA,NA,46000,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
세인트헬레나,NA,NA,NA,NA,NA,NA,39000,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
케이맨제도,NA,NA,NA,NA,NA,NA,26400,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
니우에,NA,NA,NA,NA,NA,NA,26000,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
생피에르미클롱,NA,NA,NA,NA,NA,NA,24000,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
쿡아일랜드,NA,NA,NA,NA,NA,NA,24000,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
미국령사모아,NA,NA,NA,NA,NA,NA,20000,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
아루바,NA,NA,NA,NA,NA,NA,18000,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
리히텐슈타인,NA,NA,NA,NA,NA,NA,16000,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.49,30,NA,NA
영국령버진아일랜드,NA,NA,NA,NA,NA,NA,15000,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
윌리스퍼투나,NA,NA,NA,NA,NA,NA,14000,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
몬서랫,NA,NA,NA,NA,NA,NA,10000,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6121000,111,30757000,109,NA,NA,NA,NA
안길라,NA,NA,NA,NA,NA,NA,9000,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3100000,112,182631000,108,NA,NA,NA,NA
버뮤다,NA,NA,NA,NA,NA,NA,5000,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
핏케언제도,NA,NA,NA,NA,NA,NA,4700,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
지브롤터,NA,NA,NA,NA,NA,NA,1000,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
토켈라우제도,NA,NA,NA,NA,NA,NA,1000,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
유로지역,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48E+12,1,2.21E+12,2,NA,NA,NA,NA
남아프리카,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.39,28,4.724,105
체코공화국,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.89,34,NA,NA
OECS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.11,35,NA,NA
보스니아헤르체고비나,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.37,62,5.129,93
북부키프로스,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.59,77,NA,NA
코소보,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.61,78,NA,NA
아이보리해안,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.08,82,4.671,107
가다,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.23,86,3.999,139
키르기스스탄,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,98,5.131,92
마케도니아공화국,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.43,109,NA,NA
모로코 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.13,135,NA,NA
남수단,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.88,144,3.254,154
